parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
28,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,1,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
