parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
0,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,1,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
